operator,conquest_epoch
Modulo,4865.0
Add,2943.0
Subtract,2955.0
Multiply,5664.0
Divide,2289.0
Modulo,4900.0
Add,2879.0
Subtract,2688.0
Multiply,5218.0
Divide,2529.0
Modulo,4547.0
Add,2591.0
Subtract,2655.0
Multiply,6124.0
Divide,2360.0
Modulo,5389.0
Add,2925.0
Subtract,2660.0
Multiply,5683.0
Divide,2431.0
Modulo,4826.0
Add,2060.0
Subtract,3195.0
Multiply,5555.0
Divide,2243.0
Modulo,4568.0
Add,2361.0
Subtract,2664.0
Multiply,5897.0
Divide,2439.0
Modulo,5139.0
Add,2564.0
Subtract,3094.0
Multiply,5438.0
Divide,2398.0
Modulo,4405.0
Add,2581.0
Subtract,2750.0
Multiply,5747.0
Divide,2465.0
Modulo,4552.0
Add,2342.0
Subtract,2567.0
Multiply,6221.0
Divide,2439.0
Modulo,5351.0
Add,2674.0
Subtract,3115.0
Multiply,6479.0
Divide,2551.0
Modulo,5785.0
Add,2641.0
Subtract,2353.0
Multiply,6107.0
Divide,2421.0
Modulo,4585.0
Add,2611.0
Subtract,2663.0
Multiply,5707.0
Divide,2183.0
Modulo,5238.0
Add,2886.0
Subtract,2600.0
Multiply,5796.0
Divide,2421.0
Modulo,5055.0
Add,2424.0
Subtract,2837.0
Multiply,5687.0
Divide,2471.0
Modulo,4324.0
Add,2873.0
Subtract,3434.0
Multiply,7050.0
Divide,2440.0
Modulo,4697.0
Add,2746.0
Subtract,2425.0
Multiply,6050.0
Divide,2538.0
Modulo,5267.0
Add,2961.0
Subtract,2857.0
Multiply,6326.0
Divide,2580.0
Modulo,4914.0
Add,3126.0
Subtract,2610.0
Multiply,6040.0
Divide,2328.0
Modulo,4748.0
Add,2657.0
Subtract,2588.0
Multiply,5819.0
Divide,2405.0
Modulo,4817.0
Add,2710.0
Subtract,2371.0
Multiply,6325.0
Divide,2532.0
Modulo,4699.0
Add,2818.0
Subtract,2567.0
Multiply,6010.0
Divide,2370.0
Modulo,4485.0
Add,2120.0
Subtract,3012.0
Multiply,6381.0
Divide,2535.0
Modulo,4304.0
Add,2801.0
Subtract,2483.0
Multiply,6060.0
Divide,2275.0
Modulo,4574.0
Add,2194.0
Subtract,3191.0
Multiply,6459.0
Divide,2449.0
Modulo,5204.0
Add,2461.0
Subtract,2428.0
Multiply,6166.0
Divide,2332.0
Modulo,4660.0
Add,2285.0
Subtract,3337.0
Multiply,6412.0
Divide,2482.0
Modulo,4880.0
Add,2014.0
Subtract,3248.0
Multiply,6516.0
Divide,2434.0
Modulo,4998.0
Add,2294.0
Subtract,2482.0
Multiply,5548.0
Divide,2367.0
Modulo,4811.0
Add,2402.0
Subtract,2327.0
Multiply,5580.0
Divide,2308.0
Modulo,4851.0
Add,2831.0
Subtract,3582.0
Multiply,6251.0
Divide,2452.0
Modulo,4798.0
Add,2364.0
Subtract,2594.0
Multiply,5823.0
Divide,2528.0
Modulo,4922.0
Add,1927.0
Subtract,2947.0
Multiply,5495.0
Divide,2292.0
Modulo,4239.0
Add,2262.0
Subtract,3589.0
Multiply,6098.0
Divide,2294.0
Modulo,4793.0
Add,2631.0
Subtract,2733.0
Multiply,5756.0
Divide,2320.0
Modulo,5236.0
Add,2343.0
Subtract,2670.0
Multiply,5797.0
Divide,2443.0
Modulo,4822.0
Add,3015.0
Subtract,2514.0
Multiply,6344.0
Divide,2186.0
Modulo,4568.0
Add,2669.0
Subtract,2698.0
Multiply,5498.0
Divide,2585.0
Modulo,5081.0
Add,3258.0
Subtract,2912.0
Multiply,6124.0
Divide,2404.0
Modulo,4538.0
Add,2707.0
Subtract,2968.0
Multiply,5860.0
Divide,2440.0
Modulo,5203.0
Add,2147.0
Subtract,3259.0
Multiply,6258.0
Divide,2276.0
Modulo,5224.0
Add,2283.0
Subtract,2748.0
Multiply,6341.0
Divide,2432.0
Modulo,4556.0
Add,2575.0
Subtract,2704.0
Multiply,6227.0
Divide,2305.0
Modulo,5216.0
Add,2634.0
Subtract,2560.0
Multiply,5171.0
Divide,2414.0
Modulo,4653.0
Add,2207.0
Subtract,3020.0
Multiply,5809.0
Divide,2430.0
Modulo,4984.0
Add,2555.0
Subtract,2502.0
Multiply,5831.0
Divide,2328.0
Modulo,4383.0
Add,3525.0
Subtract,2442.0
Multiply,5840.0
Divide,2337.0
Modulo,4752.0
Add,2153.0
Subtract,2878.0
Multiply,5542.0
Divide,2449.0
Modulo,4829.0
Add,2840.0
Subtract,2646.0
Multiply,6123.0
Divide,2366.0
Modulo,5155.0
Add,2126.0
Subtract,2544.0
Multiply,5597.0
Divide,2272.0
Modulo,4331.0
Add,2907.0
Subtract,2637.0
Multiply,5530.0
Divide,2314.0
Modulo,4924.0
Add,2395.0
Subtract,2296.0
Multiply,5488.0
Divide,2668.0
Modulo,5355.0
Add,2510.0
Subtract,2781.0
Multiply,5832.0
Divide,2369.0
Modulo,4982.0
Add,2415.0
Subtract,2913.0
Multiply,6194.0
Divide,2412.0
Modulo,5468.0
Add,2172.0
Subtract,3149.0
Multiply,5569.0
Divide,2388.0
Modulo,5677.0
Add,2680.0
Subtract,2888.0
Multiply,6024.0
Divide,2332.0
Modulo,5350.0
Add,2494.0
Subtract,2846.0
Multiply,5653.0
Divide,2416.0
Modulo,4860.0
Add,3241.0
Subtract,2399.0
Multiply,5538.0
Divide,2418.0
Modulo,5306.0
Add,2664.0
Subtract,2332.0
Multiply,6081.0
Divide,2299.0
Modulo,5134.0
Add,2487.0
Subtract,2739.0
Multiply,5879.0
Divide,2309.0
Modulo,4224.0
Add,2770.0
Subtract,2292.0
Multiply,6260.0
Divide,2533.0
Modulo,5168.0
Add,2587.0
Subtract,2668.0
Multiply,5720.0
Divide,2337.0
Modulo,5214.0
Add,2408.0
Subtract,2996.0
Multiply,6042.0
Divide,2315.0
Modulo,5167.0
Add,2832.0
Subtract,3225.0
Multiply,6154.0
Divide,2399.0
Modulo,4606.0
Add,2941.0
Subtract,2928.0
Multiply,5976.0
Divide,2443.0
Modulo,4805.0
Add,2205.0
Subtract,2447.0
Multiply,6177.0
Divide,2198.0
Modulo,4350.0
Add,2686.0
Subtract,2800.0
Multiply,5891.0
Divide,2307.0
Modulo,4589.0
Add,2597.0
Subtract,2795.0
